Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
bus_5c41600c		Две студентки на каникулах поехали отдохнуть на природе	game/bus.rpy	16	"[what]"
bus_f03a11b9		[player_name] сдала сессию на отлично, была любопытна и мечтала увидеть разные города и страны. Даже, когда [player_name] была маленькой девочкой, она не выходила из дома без своего любимого оранжевого рюкзачка	game/bus.rpy	20	"[what]"
bus_9a80a966		Дарина была рада, что она смогла уделить время отдыху. Девушка не только училась, но и подрабатывала рисованием портретов. Мечтала стать более обеспеченной, что бы рисовать то, что требует ее душа 	game/bus.rpy	26	"[what]"
bus_41fd18f2	d	Мы уже трое суток добираемся, уже использовали разные виды транспорта: и поезд, и автобус...и до сих пор в дороге...	game/bus.rpy	34	d "[what]"
bus_711ed748	d	Хочется заняться уже чем-то полезным	game/bus.rpy	35	d "[what]"
bus_ee655732	p	Ага, и поскорее вдохнуть чистый воздух без пыли	game/bus.rpy	36	p "[what]"
bus_5ef9c55e	d	Да, подышим... 	game/bus.rpy	37	d "[what]"
bus_a83aa255	d	...пока будем преодолевать несколько километров вдоль каменистого побережья с рюкзаком...	game/bus.rpy	38	d "[what]"
dolphins_5d2aa0d8	p	Как здорово пахнет море: свободой и солью!	game/dolphins.rpy	6	p "[what]"
dolphins_6b777d1f	p	Смотри какая вода чистая! И дельфины!	game/dolphins.rpy	8	p "[what]"
dolphins_edd84d21	d	Вау! Никогда не видела дельфинов в открытом море. Интересно, насколько близко они могут доплыть до берега?	game/dolphins.rpy	14	d "[what]" nointeract
dolphins_3028a31e	d	Нарисовать не успеем, но сфотографируем обязательно	game/dolphins.rpy	17	d "[what]"
dolphins_3cef4adc	d	Ученые выяснили, что дельфины интеллектуально соизмеримы с человеком и даже умнее нас	game/dolphins.rpy	23	d "[what]"
dolphins_4d27a82f	p	Ага, хорошо было бы с ними пообщаться на философские темы	game/dolphins.rpy	24	p "[what]"
dolphins_dad3a5ae	d	Да, обсудить с ними Ницше и Канта	game/dolphins.rpy	28	d "[what]"
dolphins_2d4aa415	p	Думаю дельфинам было бы интересно поговорить с философами о рыбьем бытие	game/dolphins.rpy	29	p "[what]"
dolphins_2657794c	d	Не возможно войти в одну реку дважды - известная народная мудрость	game/dolphins.rpy	36	d "[what]"
dolphins_6b824831	p	Зато можно пойти искупаться в море	game/dolphins.rpy	37	p "[what]"
dolphins_b38c3ad0	d	Пойдем купаться! До заката еще далеко	game/dolphins.rpy	42	d "[what]"
dolphins_790e6381	p	Да, да! Я так долго этого ждала	game/dolphins.rpy	46	p "[what]"
dolphins_da7e9d8b		Девочки переодеваются в купальники и забегают в воду	game/dolphins.rpy	48	"[what]"
end_game_136411aa		Ваше путешествие подошло к концу. Попробуйте снова	game/end_game.rpy	7	"[what]"
end_story_2a5b4714		Сложно было поверить, что [parrot_name] может говорить так рассудительно, и что он не выдумал всю эту историю	game/end_story.rpy	5	"[what]"
end_story_99191ba5		Но в воздухе уже повеяло невероятной тайной...	game/end_story.rpy	7	"[what]"
credits_c15bbfee		{color=#dcc600}Design{/color}, {color=#00d3eb}Game Design{/color}, {color=#00ff00}Narrative Design{/color} - {b}Polina{/b}	game/end_story.rpy	23	"[what]"
credits_7ad7a8dd		{color=#ff00ff}Development{/color}, {color=#00f7ff}Sound{/color} - {b}Leonid (Random Coder){/b}	game/end_story.rpy	26	"[what]"
credits_1e32445f		{color=#00f7ff}Звук и музыка{/color} - {a=https://freesound.org/}freesound.org{/a} и Wondershare Filmora 11	game/end_story.rpy	28	"[what]"
credits_d477af83		Производство {b}{color=#00f7ff}Random Coder{/color}{/b}	game/end_story.rpy	35	"[what]"
credits_9c3e77cc		До новых встреч!	game/end_story.rpy	36	"[what]"
makepuzzle_11263ba9		Добро пожаловать в мини-игру! Нажимайте на части, чтобы вращать их	game/makepuzzle.rpy	13	"[what]"
makepuzzle_2e0bbe8c		Перетащите части друг на друга, чтобы переключиться. Удачи!!!	game/makepuzzle.rpy	14	"[what]"
win_93ad52b4	d	УРА! У нас получилось!!	game/makepuzzle.rpy	42	d "[what]"
win_7a1ae632	p	Какой красивый портрет!	game/makepuzzle.rpy	44	p "[what]"
win_9ae913eb	v	Вы так быстро и умело собрали картину, спасибо вам	game/makepuzzle.rpy	45	v "[what]"
win_ed2def8b	v	Как думаете, кто на этой картине?	game/makepuzzle.rpy	47	v "[what]"
win_3986cdf9	d	Такая же желтая борода и зелено-голубой животик	game/makepuzzle.rpy	51	d "[what]"
win_6a5fc498	v	Да, почти, это мой отец, но я очень на него похож	game/makepuzzle.rpy	52	v "[what]"
win_c094b8b5	p	 Кто-то обладающий властью? Уж очень солидная птица изображена	game/makepuzzle.rpy	55	p "[what]"
win_1de172e3	v	Да, это мой отец, а я очень на него похож, только он, конечно, старше и мудрее	game/makepuzzle.rpy	56	v "[what]"
note_0dfab1a9	v	На обороте картины мы найдем рецепт зелья	game/note.rpy	8	v "[what]"
note_41da7425	v	Оно откроет нам глаза на магию в вашем миреИ, и мы увидим портал	game/note.rpy	9	v "[what]"
note_2f26d03e	p	О, тут действительно что-то есть, но не понимаю, что написано	game/note.rpy	26	p "[what]"
note_633c29e8	v	Да, это на нашем языке, сейчас переведу	game/note.rpy	27	v "[what]"
note_8219cc18	v	Здесь сказано, что для зелья необходимо собрать 5 ингредиентов:	game/note.rpy	28	v "[what]"
note_d5dc11dc	v	{color=#dcc600}Семена подсолнуха,{/color}{color=#f00} лепестки мака,{/color} {color=#00ff00} листья гладиолуса,{/color} {color=#a4a4a4} каменную пыль,{/color}{color=#00d3eb} голубые трубчатые водоросли{/color}	game/note.rpy	31	v "[what]"
note_392ef029	p	Как много компонентов!	game/note.rpy	32	p "[what]"
note_c549283b	d	Я видела недалеко от палатки поляну с цветами, думаю, найдем там что-то для зелья	game/note.rpy	33	d "[what]"
